Title,Url,Company,Location,Salary,Easy Apply
ISL 27R - Data Warehouse Analyst,https://ca.indeed.com/rc/clk?jk=79524000aa117c7e&fccid=65dd05622a756445&vjs=3,"
BC Public Service","Burnaby, BC","
$71,299 - $81,387 a year",
Irrigation Data Analyst,https://ca.indeed.com/rc/clk?jk=13a59e490ff74b5b&fccid=06eb55e7689c0bc2&vjs=3,"
Government of Alberta","Lethbridge, AB","
$56,412 - $84,604 a year",
STO 21R - Geospatial Analyst,https://ca.indeed.com/rc/clk?jk=c181d1c0ef2e48b1&fccid=65dd05622a756445&vjs=3,"
BC Public Service","Surrey, BC",,
Analyst Data Integrity - 6 month contract,https://ca.indeed.com/rc/clk?jk=668d77fd79187555&fccid=2b30af762655480b&vjs=3,"
Sobeys","Stellarton, NS",,
Senior Data Analyst,https://ca.indeed.com/rc/clk?jk=de6ee53c2fc63a3c&fccid=76b720a7ec2c97ed&vjs=3,,"Bedford, QC",,
Data Scientist/Analyst 120,https://ca.indeed.com/company/Foilcon/jobs/Data-Scientist-Analyst-1ab2f1a5c42733bb?fccid=3c390d82cd194f25&vjs=3,,"Toronto, ON","
$80 an hour",
Senior Business Data Analyst,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BmgyhhgzTPmlU2ltoOFrvmMnWna8IhpI58mrlYciiJsY1ntjgYFQfh8eVlOw_x3Mx8JiaVcfl0LXZ9dqmQa5zIyHp5AWF7e7GGefeAJzjZYqgX8NGajGQPAkdhSBVLzUPA9gu9QO2vfoGCemA-2J0VqLoXyB6mjIb7ri1kQS2mJmuU6KXDj-2jwKMFYiHtUr1_etZNvn5R0hqLavM2UPfA78MnHkHP0LbtWLQNvZWtBNAMT36vhN4QQY9y-Six8BY0s-FbajzlZm8vIjfyYUluAwCxtNuyv9SBftrjLTvYvT_5XAvBqF-jw0E1hSZS7uhLpJJ6YHfRJ6kQu6PSSKz_lCfJoptde7l7-127UGbC1WRnY5M6XXteEGjD8wF52fb6LDTn-BwBmQedfSUxzKDW7l9wR7TFwaaJL0cEidmulMVvSKDSR-B_n2fzKknkjExpyCVfJfepgQ==&p=0&fvj=1&vjs=3,,New Brunswick,"
$60,000 a year",
"Data Analyst, Global Procurement",https://ca.indeed.com/rc/clk?jk=a894a93a36ca6df9&fccid=537b899e30af3338&vjs=3,"
RBC","Toronto, ON",,
Business Analyst & Coordinator,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Da1nTjrLoR2NxgLL5gl69wfLSZIqoHbL8MZOvbZMtZTXuM9JVwcZBdEWruS7Keeb0vRDKHMGJvzo5aEeWZyJYOExIKKPcbKCNs-Y0NUf08czVgkMYeRitUnyAJL1mm3DhPFRx-b_12kjHqCMcwTs699e9MReCMUP6K-hB_IuiZCK0dtvPttfbopyces5QiREiYXH3LYutGxTfwTSSsJyfFiRb48fP3RT5ZtOL0_3eQ4xL1dg1V82JLTvvzDKyNBfFffMlc6ZhnODYX9m6CAaIwJ-0Ekbkd1rh1CYPfchAKAiVxg_VZiu0ddAyoagOiqJM5zYQ7I3qLZ-ncw9ehuTN21TqdWBOZs_uHZogWE4tAlNGbz0bJZaWATAN5xmFVcvVcYUfTBVIjsJCLUXr7agJUB5TbgS4k_7sxuFzK5hCZdeADz5y4WWYekEDdzzuXfvgyF3kEeY657Q==&p=2&fvj=1&vjs=3,,"Vaudreuil-Dorion, QC",,
"Analyst, Consulting Services & Consumer Insights",https://ca.indeed.com/rc/clk?jk=17da3dabf41c1f33&fccid=bc30630cfcc120d4&vjs=3,"
Loblaw Companies Limited","Brampton, ON",,
Data Analyst,https://ca.indeed.com/company/Sryas-Inc./jobs/Data-Analyst-eafffcd3aa6a3feb?fccid=38501cc9ea324bc0&vjs=3,,"Montréal, QC","
$85,000 a year",
